Ano,Mes,IdRegion,IdServicio,IdComuna,IdEstablecimiento,50_54,55_59,60_64,65_69,numerador_mujeres_50_69
2025,12,13,10,13103,110330,365,323,313,135,1136
2025,12,13,10,13103,110331,221,195,229,94,739
2025,12,13,10,13103,110335,339,273,225,136,973
2025,12,13,10,13103,110355,224,250,249,192,915
2025,12,13,10,13103,110735,41,28,54,44,167
2025,12,13,10,13117,110315,378,362,407,210,1357
2025,12,13,10,13117,110316,381,312,280,207,1180
2025,12,13,10,13117,110340,430,407,369,179,1385
2025,12,13,10,13117,110345,227,215,270,147,859
2025,12,13,10,13124,110350,555,539,607,236,1937
2025,12,13,10,13124,110351,220,145,163,119,647
2025,12,13,10,13124,110352,302,475,551,249,1577
2025,12,13,10,13124,110353,349,270,211,129,959
2025,12,13,10,13124,110354,202,393,399,173,1167
2025,12,13,10,13124,110410,10,9,7,2,28
2025,12,13,10,13124,110750,17,17,34,10,78
2025,12,13,10,13124,110752,92,108,101,81,382
2025,12,13,10,13124,110754,44,54,53,40,191
2025,12,13,10,13124,110756,22,23,22,18,85
2025,12,13,10,13124,110758,44,20,20,8,92
2025,12,13,10,13124,201353,4,3,3,0,10
2025,12,13,10,13126,110310,144,114,106,61,425
2025,12,13,10,13126,110320,298,365,182,92,937
2025,12,13,10,13126,110325,77,383,404,219,1083
2025,12,13,10,13126,110720,44,49,59,41,193
2025,12,13,10,13128,110360,954,883,925,490,3252
2025,12,13,10,13128,110361,659,593,475,191,1918
2025,12,13,10,13128,110362,375,257,319,278,1229
2025,12,13,10,13128,110364,303,241,179,84,807
2025,12,13,10,13501,110378,414,404,424,254,1496
2025,12,13,10,13501,110379,642,680,517,273,2112
2025,12,13,10,13501,110380,137,184,181,101,603
2025,12,13,10,13501,110381,126,111,127,58,422
2025,12,13,10,13501,110440,28,22,26,12,88
2025,12,13,10,13501,110445,33,47,50,32,162
2025,12,13,10,13501,110778,63,61,68,40,232
2025,12,13,10,13501,110781,48,32,27,7,114
2025,12,13,10,13501,110783,24,27,32,16,99
2025,12,13,10,13501,200965,229,175,116,58,578
2025,12,13,10,13502,110393,83,72,55,46,256
2025,12,13,10,13502,110503,51,45,39,16,151
2025,12,13,10,13502,110505,14,8,15,5,42
2025,12,13,10,13502,110510,13,23,14,6,56
2025,12,13,10,13503,110160,243,278,285,133,939
2025,12,13,10,13504,110385,223,201,216,133,773
2025,12,13,10,13504,110465,23,22,30,15,90
2025,12,13,10,13504,110470,12,13,24,15,64
2025,12,13,10,13504,110475,35,33,30,14,112
2025,12,13,10,13505,110387,150,143,107,31,431
2025,12,13,10,13505,110485,14,8,6,2,30
2025,12,13,10,13505,110490,8,11,5,3,27
2025,12,13,10,13505,110492,9,11,12,3,35
2025,12,13,10,13505,110495,14,8,6,2,30
2025,12,13,10,13601,110390,1502,1674,1559,1276,6011
2025,12,13,10,13601,110400,79,52,58,13,202
2025,12,13,10,13601,200365,73,61,38,7,179
2025,12,13,10,13602,110370,424,399,339,177,1339
2025,12,13,10,13602,200454,68,47,64,32,211
2025,12,13,10,13603,110375,215,322,299,164,1000
2025,12,13,10,13603,110425,258,225,157,77,717
2025,12,13,10,13603,110430,13,11,9,6,39
2025,12,13,10,13603,110431,14,14,9,8,45
2025,12,13,10,13603,110432,17,7,9,5,38
2025,12,13,10,13603,110775,7,6,8,2,23
2025,12,13,10,13603,200385,11,10,5,13,39
2025,12,13,10,13604,110366,1704,1508,1294,967,5473
2025,12,13,10,13605,110308,347,292,292,115,1046
2025,12,13,10,13605,110369,577,538,458,330,1903
2025,12,13,11,13101,111300,409,390,366,239,1404
2025,12,13,11,13101,111301,104,132,87,80,403
2025,12,13,11,13101,111370,309,260,297,147,1013
2025,12,13,11,13101,111372,236,246,256,141,879
2025,12,13,11,13101,111376,376,333,343,154,1206
2025,12,13,11,13101,111381,830,668,695,354,2547
2025,12,13,11,13102,111305,253,225,222,166,866
2025,12,13,11,13102,111307,195,184,192,140,711
2025,12,13,11,13102,200346,6,5,5,4,20
2025,12,13,11,13106,111302,141,145,102,76,464
2025,12,13,11,13106,111306,129,136,179,84,528
2025,12,13,11,13106,111310,260,133,105,98,596
2025,12,13,11,13106,111781,18,19,11,3,51
2025,12,13,11,13119,111304,354,360,507,385,1606
2025,12,13,11,13119,111308,303,358,409,234,1304
2025,12,13,11,13119,111309,240,296,345,210,1091
2025,12,13,11,13119,111378,392,399,401,221,1413
2025,12,13,11,13119,111379,271,288,387,262,1208
2025,12,13,11,13119,111380,357,394,476,234,1461
2025,12,13,11,13119,111382,352,352,493,338,1535
2025,12,13,11,13119,111383,186,294,337,206,1023
2025,12,13,11,13119,111704,32,41,19,17,109
2025,12,13,11,13119,111780,13,16,15,4,48
2025,12,13,11,13119,111783,30,32,90,71,223
2025,12,13,11,13119,111784,45,34,50,19,148
2025,12,13,11,13119,200643,25,23,24,11,83
2025,12,13,11,13119,201129,52,42,66,39,199
2025,12,13,11,13119,201674,164,137,156,111,568
2025,12,13,12,13113,112317,553,534,572,446,2105
2025,12,13,12,13113,112320,170,140,122,78,510
2025,12,13,12,13114,112304,611,668,769,613,2661
2025,12,13,12,13114,112306,719,766,874,495,2854
2025,12,13,12,13115,112307,864,902,782,420,2968
2025,12,13,12,13118,112312,443,426,488,521,1878
2025,12,13,12,13118,112313,410,447,454,281,1592
2025,12,13,12,13118,112319,324,347,385,283,1339
2025,12,13,12,13120,112310,341,386,577,526,1830
2025,12,13,12,13120,112311,372,365,459,338,1534
2025,12,13,12,13122,112314,237,147,121,48,553
2025,12,13,12,13122,112315,288,219,185,94,786
2025,12,13,12,13122,112316,741,733,614,281,2369
2025,12,13,12,13122,112318,330,312,268,177,1087
2025,12,13,12,13122,112321,311,267,263,126,967
2025,12,13,12,13122,112322,397,268,165,94,924
2025,12,13,12,13122,201112,445,327,251,213,1236
2025,12,13,12,13123,112301,311,283,341,286,1221
2025,12,13,12,13123,112302,292,306,310,233,1141
2025,12,13,12,13123,112303,397,446,504,357,1704
2025,12,13,12,13132,112309,594,632,630,386,2242
2025,12,13,13,13105,113312,373,371,406,179,1329
2025,12,13,13,13105,113314,581,670,584,256,2091
2025,12,13,13,13105,113317,677,703,735,323,2438
2025,12,13,13,13105,113323,271,277,395,268,1211
2025,12,13,13,13105,113324,414,369,313,158,1254
2025,12,13,13,13105,113329,329,342,289,187,1147
2025,12,13,13,13109,113311,656,680,670,470,2476
2025,12,13,13,13109,113326,647,657,694,402,2400
2025,12,13,13,13111,113307,316,327,397,310,1350
2025,12,13,13,13116,113308,130,159,212,127,628
2025,12,13,13,13116,113309,340,284,302,144,1070
2025,12,13,13,13116,113310,192,203,303,171,869
2025,12,13,13,13116,113396,431,402,326,125,1284
2025,12,13,13,13121,111303,302,276,335,218,1131
2025,12,13,13,13121,113303,402,406,531,261,1600
2025,12,13,13,13121,113306,327,376,444,174,1321
2025,12,13,13,13121,113331,307,358,464,270,1399
2025,12,13,13,13129,113301,641,663,743,470,2517
2025,12,13,13,13129,113305,208,217,230,155,810
2025,12,13,13,13129,113322,386,385,421,277,1469
2025,12,13,13,13129,113701,87,83,88,42,300
2025,12,13,13,13129,113702,72,66,48,41,227
2025,12,13,13,13129,113722,78,80,100,150,408
2025,12,13,13,13129,113753,45,47,35,31,158
2025,12,13,13,13129,200210,115,117,120,63,415
2025,12,13,13,13129,200337,33,30,21,27,111
2025,12,13,13,13130,113300,643,685,849,535,2712
2025,12,13,13,13130,113302,444,479,553,334,1810
2025,12,13,13,13130,200361,8,25,24,16,73
2025,12,13,13,13401,113313,934,1001,1081,409,3425
2025,12,13,13,13401,113315,289,249,210,74,822
2025,12,13,13,13401,113316,348,359,372,151,1230
2025,12,13,13,13401,113328,431,375,344,161,1311
2025,12,13,13,13401,113330,354,322,279,126,1081
2025,12,13,13,13401,113332,483,375,324,140,1322
2025,12,13,13,13401,113394,249,195,195,120,759
2025,12,13,13,13401,113713,42,37,26,17,122
2025,12,13,13,13402,113320,309,285,234,148,976
2025,12,13,13,13402,113333,227,219,226,125,797
2025,12,13,13,13402,113390,582,560,545,293,1980
2025,12,13,13,13402,113402,135,140,119,77,471
2025,12,13,13,13402,113404,90,55,68,34,247
2025,12,13,13,13402,113405,98,94,95,42,329
2025,12,13,13,13402,113406,34,38,27,10,109
2025,12,13,13,13402,113407,74,77,58,31,240
2025,12,13,13,13402,113790,183,191,144,61,579
2025,12,13,13,13403,113321,129,134,133,74,470
2025,12,13,13,13403,113334,202,201,193,124,720
2025,12,13,13,13403,113413,2,3,4,0,9
2025,12,13,13,13404,113318,759,709,610,302,2380
2025,12,13,13,13404,113319,276,286,306,182,1050
2025,12,13,13,13404,113408,73,99,78,73,323
2025,12,13,13,13404,113409,151,191,152,68,562
2025,12,13,13,13404,113410,35,46,34,31,146
2025,12,13,13,13404,113411,58,55,49,20,182
2025,12,13,13,13404,113412,53,58,52,19,182
2025,12,13,14,13110,114302,329,334,309,221,1193
2025,12,13,14,13110,114303,346,407,449,343,1545
2025,12,13,14,13110,114304,482,499,463,263,1707
2025,12,13,14,13110,114305,351,300,494,449,1594
2025,12,13,14,13110,114316,303,334,511,294,1442
2025,12,13,14,13110,114324,374,427,340,276,1417
2025,12,13,14,13110,114330,288,287,310,235,1120
2025,12,13,14,13110,114331,321,328,356,311,1316
2025,12,13,14,13110,114334,295,354,425,318,1392
2025,12,13,14,13110,200475,8,5,15,12,40
2025,12,13,14,13111,114306,117,76,81,44,318
2025,12,13,14,13111,114315,338,366,343,297,1344
2025,12,13,14,13111,114325,699,773,932,615,3019
2025,12,13,14,13111,114706,46,31,39,40,156
2025,12,13,14,13111,114796,47,23,37,19,126
2025,12,13,14,13112,114308,223,221,194,109,747
2025,12,13,14,13112,114309,661,497,359,136,1653
2025,12,13,14,13112,114311,240,225,230,158,853
2025,12,13,14,13112,114317,310,299,418,281,1308
2025,12,13,14,13112,114318,119,77,83,64,343
2025,12,13,14,13112,114319,300,253,319,279,1151
2025,12,13,14,13112,114327,163,140,165,129,597
2025,12,13,14,13131,114307,121,80,58,30,289
2025,12,13,14,13131,114314,332,315,355,241,1243
2025,12,13,14,13131,114328,427,367,241,136,1171
2025,12,13,14,13131,114714,66,84,98,67,315
2025,12,13,14,13201,114313,242,190,157,119,708
2025,12,13,14,13201,114320,84,65,95,59,303
2025,12,13,14,13201,114321,346,381,371,205,1303
2025,12,13,14,13201,114322,102,125,139,88,454
2025,12,13,14,13201,114323,273,226,211,104,814
2025,12,13,14,13201,114326,322,328,255,167,1072
2025,12,13,14,13201,114329,295,302,264,142,1003
2025,12,13,14,13201,114332,68,67,92,53,280
2025,12,13,14,13202,114310,90,122,108,63,383
2025,12,13,14,13202,114333,80,80,87,43,290
2025,12,13,14,13202,114401,11,12,12,8,43
2025,12,13,14,13202,114403,1,8,4,6,19
2025,12,13,14,13202,114406,8,5,8,3,24
2025,12,13,14,13203,114102,103,101,110,66,380
2025,12,13,14,13203,114407,33,32,31,18,114
2025,12,13,14,13203,114410,3,4,3,4,14
2025,12,13,9,13104,109302,353,347,396,262,1358
2025,12,13,9,13104,109308,368,405,408,181,1362
2025,12,13,9,13104,109309,295,305,236,123,959
2025,12,13,9,13104,109314,234,458,568,210,1470
2025,12,13,9,13104,109709,115,93,103,67,378
2025,12,13,9,13104,200347,116,105,131,60,412
2025,12,13,9,13104,200609,67,57,58,18,200
2025,12,13,9,13107,109305,395,425,376,138,1334
2025,12,13,9,13107,109317,216,202,146,56,620
2025,12,13,9,13107,109323,305,267,177,74,823
2025,12,13,9,13107,109718,91,106,136,88,421
2025,12,13,9,13107,200961,164,133,153,147,597
2025,12,13,9,13108,109300,690,603,584,253,2130
2025,12,13,9,13108,109321,432,429,376,273,1510
2025,12,13,9,13108,200554,105,147,129,79,460
2025,12,13,9,13125,109313,411,386,365,182,1344
2025,12,13,9,13125,109315,521,526,431,206,1684
2025,12,13,9,13125,109324,655,529,409,143,1736
2025,12,13,9,13125,109713,33,39,24,7,103
2025,12,13,9,13125,109715,13,21,12,16,62
2025,12,13,9,13125,200304,38,41,58,41,178
2025,12,13,9,13125,201091,271,284,393,198,1146
2025,12,13,9,13127,109301,455,398,378,249,1480
2025,12,13,9,13127,109303,498,433,228,216,1375
2025,12,13,9,13127,109304,153,148,174,112,587
2025,12,13,9,13127,109307,135,154,176,141,606
2025,12,13,9,13127,109390,504,450,354,283,1591
2025,12,13,9,13301,109310,610,495,500,367,1972
2025,12,13,9,13301,109316,628,610,579,261,2078
2025,12,13,9,13301,109416,24,32,17,11,84
2025,12,13,9,13301,109417,19,19,19,13,70
2025,12,13,9,13301,109418,32,36,15,7,90
2025,12,13,9,13301,109419,22,20,18,8,68
2025,12,13,9,13301,109420,18,23,21,12,74
2025,12,13,9,13301,109716,55,40,28,10,133
2025,12,13,9,13301,201462,450,267,226,124,1067
2025,12,13,9,13302,109311,480,351,240,113,1184
2025,12,13,9,13302,109312,189,155,118,59,521
2025,12,13,9,13302,109712,61,68,54,27,210
2025,12,13,9,13302,201212,175,148,127,48,498
2025,12,13,9,13303,109104,132,118,108,100,458
2025,12,13,9,13303,109320,160,131,95,79,465
2025,12,13,9,13303,109410,23,16,10,9,58
2025,12,13,9,13303,109412,26,18,19,18,81
2025,12,13,9,13303,109413,24,13,12,15,64
2025,12,13,9,13303,109414,63,46,48,24,181
